# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=PCB_SSS
# Date=12:19:49
# CreatedBy=Fritzing 1.0.2b.2023-12-20.CD-1901-0-dbdbe34c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
R28,"100k;;;;;0.25;;;","THT",934.167,317.408,0,Top,THT
R58,"100k;;;;;0.25;;;","THT",2436.53,1222.92,180,Top,THT
R64,"10k;;;;;0.25;;;","THT",349.916,2640.24,180,Top,THT
R8,"180;;;;;0.25;;;","THT",3381.41,2758.35,0,Top,THT
R70,"22k;;;;;0.25;;;","THT",3657,1380.4,180,Top,THT
Jumper14,";;;;;;;;","",3811.34,2285.91,0,Top,MANUAL
R38,"22k;;;;;0.25;;;","THT",2902.67,2246.54,0,Top,THT
ELETRODOS,";;;;;;;;","THT",3890.7,658.63,0,Top,THT
R66,"1k;;;;;0.25;;;","THT",271.176,3033.94,180,Top,THT
R72,"22k;;;;;0.25;;;","THT",3611.34,396.152,0,Top,THT
R41,"9.1k;;;;;0.25;;;","THT",2469.6,1734.73,0,Top,THT
Jumper16,";;;;;;;;","",1153.85,671.741,0,Top,MANUAL
RELE 2 CANAIS,";;;;;;;;","THT",1449.13,2017.8,180,Top,THT
R59,"9.1k;;;;;0.25;;;","THT",2905.83,596.152,-90,Top,THT
R30,"33k;;;;;0.25;;;","THT",1842.83,2722.13,-90,Top,THT
R51,"1.5k;;;;;0.25;;;","THT",2508.97,1104.81,180,Top,THT
Jumper15,";;;;;;;;","",2059.37,1124.49,0,Top,MANUAL
R63,"510;;;;;0.25;;;","THT",349.916,2797.72,180,Top,THT
R39,"22k;;;;;0.25;;;","THT",3457,2361.5,90,Top,THT
VR2,";;;;;0.5W;;;","3362u-2",2100.31,2959.2,0,Top,SMT
R67,"22k;;;;;0.25;;;","THT",3257,1262.29,180,Top,THT
R29,"100k;;;;;0.25;;;","THT",2630.23,2755.2,90,Top,THT
R62,"100k;;;;;0.25;;;","THT",1485.35,317.408,0,Top,THT
C20,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",1882.2,1194.17,90,Top,THT
ELETRODOS,";;;;;;;;","THT",3851.34,2705.87,0,Top,THT
741,";;;;;;;;","DIP (Dual Inline) [THT]",2913.3,2750.87,-90,Top,THT
R60,"1.5k;;;;;0.25;;;","THT",2430.23,396.152,0,Top,THT
R53,"9.1k;;;;;0.25;;;","THT",2823.93,986.697,180,Top,THT
Jumper19,";;;;;;;;","",625.305,2866.83,0,Top,MANUAL
C5,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",622.357,209.93,90,Top,THT
R73,"22k;;;;;0.25;;;","THT",3184.56,671.741,0,Top,THT
5V,";;;;;;;;","THT",2095.31,3507.01,-90,Top,THT
J1,";;;;;;;;","THT",267.396,251.774,180,Top,THT
Jumper12,";;;;;;;;","",2256.22,2600.87,0,Top,MANUAL
R42,"1.5k;;;;;0.25;;;","THT",2160.94,1537.87,0,Top,THT
R57,"4.7k;;;;;0.25;;;","THT",2748.34,668.585,-90,Top,THT
555,";;;;;;;;","DIP8 [THT]",511.727,797.33,-90,Top,THT
J8,";;;;;;;;","THT",385.506,3422.64,180,Top,THT
LM324N,";;;;;;;;","",314.876,2144.05,180,Top,MANUAL
C21,";4.7nF;;35V;;;;;","200 mil [THT, multilayer]",1309.76,238.663,0,Top,THT
R37,"22k;;;;;0.25;;;","THT",3338.89,2361.5,90,Top,THT
R27,"1k;;;;;0.25;;;","THT",501.097,514.252,0,Top,THT
R43,"100k;;;;;0.25;;;","THT",2351.49,1380.4,0,Top,THT
C12,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",3732.59,3417.01,90,Top,THT
